Code,Name,PER,PBR,ROE
1929,日特建設,15.060991,1.3990606,0.11303
1930,北陸電気工事,12.920401,0.9005671,0.07989
1934,ユアテック,15.151343,1.2212077,0.09029
1938,日本リーテック,12.531489,0.96046203,0.08975001
1939,四電工,17.793694,1.3437773,0.08168
1941,中電工,11.820392,1.049855,0.07515
1942,関電工,24.39034,3.1336572,0.15217
1944,きんでん,23.419296,2.2195065,0.1047
1945,東京エネシス,15.748312,0.8397949,0.067379996
1946,トーエネック,12.407009,1.3172787,0.114750005
1948,弘電社,19.305252,2.469761,0.13052
1949,住友電設,2.5427968e-05,2.7396936,0.14375
1950,日本電設工業,18.449976,1.4061719,0.090679996
1951,エクシオグループ,18.903095,1.7553178,0.1076
1952,新日本空調,13.605179,2.0882068,0.18035
1959,クラフティア,21.551785,2.0088317,0.106359996
1960,サンテック,8.077759,0.6464374,0.06866
1961,三機工業,20.492037,3.5128593,0.1899
1963,日揮ホールディングス,,1.428163,0.082399994
1964,中外炉工業,9.165855,1.1092503,0.15656
1965,テクノ菱和,13.297762,2.2345927,0.20941
1966,高田工業所,8.810531,0.6634171,0.06403
1967,ヤマト,10.81081,1.1605419,0.120620005
1968,太平電業,19.920044,1.480002,0.09449001
1969,高砂熱学工業,15.015155,2.9583585,0.22594999
1972,三晃金属工業,8.496309,1.6900291,0.12157
1975,朝日工業社,12.936682,2.0341194,0.18327999
1976,明星工業,11.947362,1.2414352,0.120699994
1979,大氣社,17.54386,1.4402597,0.09989
1980,ダイダン,14.245209,2.9364746,0.22097
1981,協和日成,10.683761,1.3509696,0.0725
1982,日比谷総合設備,20.703964,1.6506761,0.1104
1992,神田通信機,16.948639,1.0455583,0.04221
1994,高橋カーテンウォール工業,23.312368,0.40807727,0.01762
1997,暁飯島工業,8.110234,4.406701,0.1333
2001,ニップン,11.890418,0.82717264,0.08039
2002,日清製粉グループ本社,24.570852,1.1651545,0.053590003
2003,日東富士製粉,19.418407,1.3600032,0.068969995
2004,昭和産業,10.649591,0.71636117,0.07174
2009,鳥越製粉,22.423368,0.69074166,0.03121
2053,中部飼料,13.45854,0.7086576,0.07118
2055,日和産業,21.234854,0.346944,0.034649998
2060,フィード・ワン,8.31916,0.72604674,0.11071999
2108,日本甜菜製糖,,0.65174603,-0.022839999
2109,ＤＭ三井製糖,19.607843,0.94235307,0.033570003
2112,塩水港精糖,5.413979,0.7210536,0.14479
2114,フジ日本,11.654704,1.1700542,0.120340005
2117,ウェルネオシュガー,16.103403,1.1975586,0.082159996
2120,ＬＩＦＵＬＬ,10.195675,1.2812383,0.10467
2121,ＭＩＸＩ,10.559726,0.98572177,0.10026
2122,インタースペース,38.606632,1.4307538,0.047080003
2124,ジェイエイシーリクルートメント,16.446375,6.174765,0.41544998
2127,日本Ｍ＆Ａセンターホールディングス,17.331657,4.5787034,0.30945998
2130,メンバーズ,16.312998,2.3936534,0.16775
2134,北浜キャピタルパートナーズ,,3.120125,-0.32606
2136,ヒップ,13.8503895,3.0703442,0.12212
2138,クルーズ,,0.570404,-0.039690003
2139,中広,28.004412,1.7000087,0.09155
2146,ＵＴグループ,19.832985,3.5079298,0.17708999
2148,アイティメディア,22.322054,3.7509818,0.15279001
2152,幼児活動研究会,16.180487,3.6364975,0.10626
2153,Ｅ・Ｊホールディングス,8.460377,0.8888052,0.08372
2154,オープンアップグループ,11.60076,1.9366457,0.17187999
2156,セーラー広告,17.98431,0.704079,0.00721
2157,コシダカホールディングス,15.624533,2.2607532,0.16499001
2158,ＦＲＯＮＴＥＯ,121.90611,9.087535,0.14543
2160,ジーエヌアイグループ,,3.7281895,-0.15619001
2162,ｎｍｓ　ホールディングス,,1.6690876,-0.15869
2163,アルトナー,15.2211275,3.9636517,0.25337
2164,地域新聞社,,12.976245,-1.35309
2168,パソナグループ,,0.5233029,-0.02813
2169,ＣＤＳ,27.324364,1.4019685,0.051269997
2170,リンクアンドモチベーション,36.90556,4.4978857,0.12942
2173,博展,8.156607,3.1345606,0.45904
2175,エス・エム・エス,19.800972,3.2421122,0.15786
2179,成学社,9.174313,0.9805591,0.11934
2180,サニーサイドアップグループ,9.050083,2.5780506,0.31308
2181,パーソルホールディングス,13.89049,2.584783,0.19106
2183,リニカル,,1.0118555,-0.26568002
2185,シイエム・シイ,11.574074,1.1249267,0.11298
2186,ソーバル,15.526676,1.5748333,0.1037
2193,クックパッド,14.240837,0.77308744,0.05589
2195,アミタホールディングス,27.621195,2.926404,0.10813
2196,エスクリ,,0.7174438,-0.099870004
2198,アイ・ケイ・ケイホールディングス,11.961159,1.9906905,0.20709999
2201,森永製菓,13.947001,1.7506915,0.14996
2204,中村屋,24.50907,0.74900633,
2206,江崎グリコ,73.53202,1.7652122,0.05448
2207,ｍｅｉｔｏ,15.67383,0.87406796,0.05481
2208,ブルボン,15.4081335,1.1898668,0.08568
2209,井村屋グループ,11.947651,1.2635984,0.102060005
2211,不二家,30.676636,1.0291879,0.037130002
2212,山崎製パン,15.748221,1.3982793,0.08948
2215,第一屋製パン,13.036908,0.48886222,0.038540002
2216,カンロ,14.836056,2.6414156,0.18864
2217,モロゾフ,25.84155,1.5344251,0.03263
2220,亀田製菓,3.4819205,0.9335926,0.31041
2221,岩塚製菓,16.528927,0.4818211,0.033299997
2222,寿スピリッツ,25.379126,6.8924103,0.29391
2224,コモ,,5.891081,0.03484
2226,湖池屋,22.472454,2.4493964,0.12746
2229,カルビー,22.27196,1.7971649,
2264,森永乳業,38.610218,1.4695103,0.04302
2266,六甲バター,15.528765,0.69280946,
2267,ヤクルト本社,18.450428,1.3386565,0.07873
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,22.123652,2.6146238,0.12371001
2269,明治ホールディングス,22.72673,1.3540207,0.06292
2270,雪印メグミルク,13.404609,0.8626439,0.096499994
2281,プリマハム,22.572489,1.0979302,0.03721
2282,日本ハム,21.231565,1.2196136,0.059910003
2286,林兼産業,4.980047,0.5671514,0.114379995
2288,丸大食品,12.706326,0.7533518,0.06796
2291,福留ハム,,0.99559957,-0.21576999
2292,Ｓ　Ｆｏｏｄｓ,10.040105,0.7023287,0.07217
2293,滝沢ハム,,1.5770143,-0.047140002
2294,柿安本店,42.550243,1.9382341,0.04092
2296,伊藤ハム米久ホールディングス,19.120657,1.0531908,0.057579998
2300,きょくとう,49.021526,0.81634516,0.07152
2301,学情,11.904422,1.5997539,0.11919
2303,ドーン,21.052631,3.084908,0.16766001
2304,ＣＳＳホールディングス,8.149987,1.5089865,0.20861
2305,スタジオアリス,28.168394,1.0826633,0.03791
2307,クロスキャット,10.03015,2.174235,0.23501
2311,エプコ,17.210869,1.5649092,0.09101
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,64.7541,3.380113,0.05055
2317,システナ,19.197584,4.311848,0.32909
2321,ソフトフロントホールディングス,,5.3772664,-0.17506
2323,ｆｏｎｆｕｎ,29.75,2.0744479,0.06981
2325,ＮＪＳ,20.661518,1.5818958,0.07976
2326,デジタルアーツ,25.509758,4.49459,0.19593
2327,日鉄ソリューションズ,26.595455,2.6668541,0.10735
2329,東北新社,8.849687,0.9664959,0.16194001
2330,フォーサイド,11.012783,1.5866945,0.15785
2331,ＡＬＳＯＫ,18.9387,1.7157611,
